"fdc_id","data_type","description","nutrient_id","name","amount","unit_name"
321358,"foundation_food","Hummus, commercial",2047,"Energy (Atwater General Factors)",243,"KCAL"
321358,"foundation_food","Hummus, commercial",2048,"Energy (Atwater Specific Factors)",229,"KCAL"
321358,"foundation_food","Hummus, commercial",1002,"Nitrogen",1.18,"G"
321358,"foundation_food","Hummus, commercial",1003,"Protein",7.35,"G"
321358,"foundation_food","Hummus, commercial",1004,"Total lipid (fat)",17.1,"G"
321358,"foundation_food","Hummus, commercial",1005,"Carbohydrate, by difference",14.9,"G"
321358,"foundation_food","Hummus, commercial",1007,"Ash",1.97,"G"
321358,"foundation_food","Hummus, commercial",1008,"Energy",229,"KCAL"
321358,"foundation_food","Hummus, commercial",1009,"Starch",8.12,"G"
321358,"foundation_food","Hummus, commercial",1010,"Sucrose",0.18,"G"
321358,"foundation_food","Hummus, commercial",1011,"Glucose",0,"G"
321358,"foundation_food","Hummus, commercial",1012,"Fructose",0.15,"G"
321358,"foundation_food","Hummus, commercial",1013,"Lactose",0,"G"
321358,"foundation_food","Hummus, commercial",1014,"Maltose",0,"G"
321358,"foundation_food","Hummus, commercial",1050,"Carbohydrate, by summation",13.9,"G"
321358,"foundation_food","Hummus, commercial",1051,"Water",58.7,"G"
321358,"foundation_food","Hummus, commercial",1062,"Energy",960,"kJ"
321358,"foundation_food","Hummus, commercial",1063,"Sugars, Total",0.34,"G"
321358,"foundation_food","Hummus, commercial",1075,"Galactose",0,"G"
321358,"foundation_food","Hummus, commercial",1079,"Fiber, total dietary",5.4,"G"
321358,"foundation_food","Hummus, commercial",1085,"Total fat (NLEA)",16.1,"G"
321358,"foundation_food","Hummus, commercial",1087,"Calcium, Ca",41,"MG"
321358,"foundation_food","Hummus, commercial",1089,"Iron, Fe",2.41,"MG"
321358,"foundation_food","Hummus, commercial",1090,"Magnesium, Mg",71.1,"MG"
321358,"foundation_food","Hummus, commercial",1091,"Phosphorus, P",166,"MG"
321358,"foundation_food","Hummus, commercial",1092,"Potassium, K",289,"MG"
321358,"foundation_food","Hummus, commercial",1093,"Sodium, Na",438,"MG"
321358,"foundation_food","Hummus, commercial",1095,"Zinc, Zn",1.38,"MG"
321358,"foundation_food","Hummus, commercial",1098,"Copper, Cu",0.348,"MG"
