order,id,name,unit_name,adult_lower,adult_rda,adult_upper,nutrient_type
1,2047,Energy (Atwater General Factors),KCAL,1800,2000,3000,Proximate
2,2048,Energy (Atwater Specific Factors),KCAL,1800,2000,3000,Proximate
3,1001,Solids,G,,,,
4,1002,Nitrogen,G,,,,
5,1003,Protein,G,46,56,,Proximate
6,1004,Total lipid (fat),G,,70,,Proximate
7,1005,"Carbohydrate, by difference",G,130,275,,Proximate
8,1006,"Fiber, crude (DO NOT USE - Archived)",G,25,38,70,Proximate
9,1007,Ash,G,,,,
10,1008,Energy,KCAL,,,,
11,1009,Starch,G,,,,
12,1010,Sucrose,G,,,,
13,1011,Glucose,G,,,,
14,1012,Fructose,G,,,,
15,1013,Lactose,G,,,,
16,1014,Maltose,G,,,,
17,1015,Amylose,G,,,,
18,1016,Amylopectin,G,,,,
19,1017,Pectin,G,,,,
20,1018,"Alcohol, ethyl",G,,,,
21,1019,Pentosan,G,,,,
22,1020,Pentoses,G,,,,
23,1021,Hemicellulose,G,,,,
24,1022,Cellulose,G,,,,
25,1023,pH,PH,,,,
26,1024,Specific Gravity,SP_GR,,,,
27,1025,Organic acids,G,,,,
28,1026,Acetic acid,MG,,,,
29,1027,Aconitic acid,MG,,,,
30,1028,Benzoic acid,MG,,,,
31,1029,Chelidonic acid,MG,,,,
32,1030,Chlorogenic acid,MG,,,,
33,1031,Cinnamic acid,MG,,,,
34,1032,Citric acid,MG,,,,
35,1033,Fumaric acid,MG,,,,
36,1034,Galacturonic acid,MG,,,,
37,1035,Gallic acid,MG,,,,
38,1036,Glycolic acid,MG,,,,
39,1037,Isocitric acid,MG,,,,
40,1038,Lactic acid,MG,,,,
41,1039,Malic acid,MG,,,,
42,1040,Oxaloacetic acid,MG,,,,
43,1041,Oxalic acid,MG,,,,
44,1042,Phytic acid,MG,,,,
45,1043,Pyruvic acid,MG,,,,
46,1044,Quinic acid,MG,,,,
47,1045,Salicylic acid,MG,,,,
48,1046,Succinic acid,MG,,,,
